NAME,DATE,AWND,PRCP,TMAX,TMIN
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-01-2006,7.16,0,40,33
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-01-2006,5.37,1.21,46,37
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-01-2006,3.8,0.12,41,38
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-01-2006,7.61,0.05,50,39
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-01-2006,11.41,0.05,43,33
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-01-2006,9.62,0.07,33,20
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-01-2006,9.62,0.01,34,21
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-01-2006,8.5,0,53,33
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-01-2006,12.08,0,56,36
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-01-2006,4.92,0,49,35
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-01-2006,12.75,0.13,59,41
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-01-2006,10.29,0,56,36
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-01-2006,9.4,0.72,68,41
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-01-2006,15.66,0.31,47,25
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-01-2006,9.4,0,31,20
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-01-2006,4.92,0,42,22
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-01-2006,11.86,0.42,55,34
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-01-2006,19.01,0.18,47,27
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-01-2006,12.08,0,54,26
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-01-2006,10.51,0,57,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-01-2006,11.41,0.03,54,27
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-01-2006,6.93,0.08,45,24
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-01-2006,6.49,0.52,40,30
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-01-2006,13.87,0.12,43,24
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-01-2006,13.87,0,35,25
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-01-2006,8.5,0.1,30,19
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-01-2006,6.71,0.06,40,16
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-01-2006,8.95,0,54,34
