NAME,DATE,AWND,PRCP,TMAX,TMIN
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-01-2016,13.42,0,37,30
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-01-2016,10.51,0,37,28
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-01-2016,10.74,0,34,30
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-01-2016,10.96,0.02,30,13
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-01-2016,3.8,0,28,8
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-01-2016,4.7,0,43,14
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-01-2016,2.01,0,48,23
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-01-2016,4.7,0.12,44,28
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-01-2016,8.95,0.08,57,41
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-01-2016,15.43,0.65,50,21
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-01-2016,11.86,0,24,16
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-01-2016,13.87,0.05,32,14
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-01-2016,10.96,0,20,6
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-01-2016,10.51,0,45,20
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-01-2016,8.05,0.13,52,40
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-01-2016,10.96,0.06,43,32
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-01-2016,8.5,0,32,12
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-01-2016,14.54,0,14,7
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-01-2016,10.51,0,19,7
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-01-2016,4.25,0.03,22,9
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-01-2016,5.14,0,24,13
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-01-2016,6.93,0.16,25,16
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-01-2016,10.51,0.33,29,18
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-01-2016,7.61,0,29,12
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-01-2016,8.5,0,45,19
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-01-2016,12.75,0.02,51,34
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-01-2016,8.05,0,34,24
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-01-2016,10.51,0,44,23
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-01-2016,9.84,0.02,37,22
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-01-2016,11.18,0,54,20
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",31-01-2016,11.41,0,65,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-02-2016,8.95,0.05,60,36
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-02-2016,9.17,0,52,30
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-02-2016,13.2,0.47,65,45
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-02-2016,8.5,0,44,31
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-02-2016,7.83,0,37,27
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-02-2016,8.72,0,45,27
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-02-2016,6.93,0,51,25
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-02-2016,8.5,0.02,48,31
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-02-2016,10.29,0.05,35,26
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-02-2016,15.43,0.01,26,16
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-02-2016,12.53,0,20,12
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-02-2016,9.62,0,21,6
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-02-2016,12.08,0.01,18,6
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-02-2016,5.59,0,21,3
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-02-2016,7.61,0.3,35,21
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-02-2016,7.61,1.18,36,32
